"practice_code","total_all","lsao2011_all_linked ","lsao2011_all_proportion","ethinic_2011_attributed_5_1","ethinic_2011_attributed_5_2","ethinic_2011_attributed_5_3","ethinic_2011_attributed_5_4","ethinic_2011_attributed_5_5","ethinic_2011_attributed_18_01","ethinic_2011_attributed_18_02","ethinic_2011_attributed_18_03","ethinic_2011_attributed_18_04","ethinic_2011_attributed_18_05","ethinic_2011_attributed_18_06","ethinic_2011_attributed_18_07","ethinic_2011_attributed_18_08","ethinic_2011_attributed_18_09","ethinic_2011_attributed_18_10","ethinic_2011_attributed_18_11","ethinic_2011_attributed_18_12","ethinic_2011_attributed_18_13","ethinic_2011_attributed_18_14","ethinic_2011_attributed_18_15","ethinic_2011_attributed_18_16","ethinic_2011_attributed_18_17","ethinic_2011_attributed_18_18"
"A81001",4188,4187,0.999761222540592,0.888660366155582,0.0131665581701813,0.0804592885175721,0.0121087961922412,0.00560499096442329,0.872739027474903,0.0031924314553748,0.000485699057617849,0.0122432081676868,0.00281355716879262,0.00201663232082083,0.00570064001663574,0.0026357286639321,0.00727129301163393,0.0525320458831499,0.0020927569716409,0.00843433702742586,0.0101288556237215,0.00981703073879974,0.00103315462589915,0.0012586108275423,0.00195399456821182,0.00365099639621147
"A81002",19603,19603,1,0.946307383180035,0.00986810721413139,0.0332345761105552,0.00785077854301904,0.00273915495225874,0.934605528088845,0.00259269117741249,0.000647901336076918,0.00846126257770132,0.00196740386925364,0.00157011128740011,0.00420105566944305,0.00212953638803459,0.0044941911149983,0.0174219637003846,0.000742935765884857,0.00368306850365791,0.00689241702562951,0.00676125748441144,0.000358287201760351,0.000731233856847251,0.00112243903886262,0.00161671591339613
"A81003",3446,3446,1,0.969722518017205,0.00637941243663409,0.0196214302569816,0.00280018562127753,0.0014764536679014,0.956545828777204,0.00222488719533594,0.000389901296034152,0.0105619007486315,0.00196157641338027,0.000714113976726921,0.00181296221764459,0.00189075982888231,0.00240892510790207,0.00515285529606965,0.0046852495562062,0.00320034850876875,0.0041740517880349,0.00225999755922669,0.000497607609973844,4.25804520770029e-05,0.000776358335078581,0.000700095332822821
"A81004",9006,8998,0.999111703308905,0.847008825112139,0.0173346636444927,0.105228915693251,0.0150155769817793,0.0154120185683375,0.820874200244394,0.00474120647754081,0.000760038272155226,0.0206333801180491,0.00351601913742838,0.00313900622802237,0.0072442635831882,0.00343537469585374,0.0133719432400884,0.0683013165229936,0.00202648832140738,0.00934079525527288,0.0121883723534891,0.0127039037945298,0.000866046834137801,0.00144562635311172,0.0102042020571271,0.00520781651121044
"A81005",7889,7889,1,0.985904111617532,0.00491862155769956,0.00707188046639499,0.00108472794629047,0.00102065841208261,0.976845225900868,0.00184266506786139,0.000337284591734578,0.00687893605706887,0.00145136504165007,0.00050331468058048,0.00208972411986098,0.000874217715608025,0.000893375420319223,0.0017501757229779,0.000679083858324039,0.00161777999797413,0.0021314654667997,0.000569325150408733,0.000461382157007388,5.40206388743528e-05,0.000263283277120575,0.000757375134962033
"A81006",12165,12165,1,0.946892857007397,0.0100330646426366,0.0321932095857269,0.00816234079298756,0.00271852797125206,0.935439680819289,0.00255772745818919,0.000641451112173479,0.00825399761774495,0.00200844611391742,0.0016716405175561,0.00413180020484876,0.00222117780631435,0.0043692138120004,0.0162832721507447,0.000732479993726712,0.00384846588077209,0.00695977774848305,0.00702337482260928,0.00034981149325227,0.00078915447712601,0.00111067063060807,0.00160785734064399
"A81007",9525,9525,1,0.974335186356542,0.0060891208831709,0.0162133185980257,0.00209745235838549,0.00126492180387577,0.963495820968868,0.00224989404991747,0.000380157841170452,0.00820931349658634,0.00186920018219353,0.000572410608119785,0.00182234090791862,0.00182516918493895,0.00288401749972775,0.00397755037724097,0.00306199148998022,0.00280896081053785,0.0034807984205389,0.00163353222036171,0.000420436179216275,4.34839588075142e-05,0.000667500194282439,0.000597421609593326
"A81008",4088,4088,1,0.956257546400358,0.00979196062614211,0.0288329944241619,0.00274772502102592,0.00236977352831203,0.942477655478114,0.0042205823090846,0.00247784928791499,0.00708145932524413,0.00321514195230287,0.00174882661592028,0.00331691138677305,0.0015110806711459,0.00182152243526524,0.0181078171499863,0.00402213829419316,0.00179287224056834,0.00308864430414887,0.00203074783341035,0.000344906215947247,0.000372070971668331,0.0010703711206631,0.00129940240764894
"A81009",9265,9264,0.999892066918511,0.870364456381537,0.0182147482130973,0.0887343712388543,0.0110356712431591,0.0116507529233523,0.848235541975214,0.00463857933674212,0.000617340774826264,0.0168729942947546,0.00357756303853568,0.00359528091323407,0.00741152913705709,0.00363037512427043,0.0112067396312275,0.0596900278541765,0.0020716839404137,0.00571976204603786,0.0100461577669987,0.0091506889523893,0.000636985188947741,0.00124799710182202,0.0072599883904925,0.00439076453285982
"A81011",11285,11285,1,0.976949342414046,0.00607453699177292,0.0138858742180053,0.00182477539656103,0.00126547097961512,0.965999574163771,0.00215069152778773,0.000409811861314922,0.00838926486117163,0.00195800992472005,0.000583207593151197,0.00187958613711621,0.00165373333678546,0.00255203570924942,0.00306461771331813,0.00234598250411905,0.00255458080282303,0.0033686574884957,0.00137309276806966,0.000405788526544308,4.58941019470627e-05,0.0006341969117979,0.000631274067817216
